House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
4,Rhubarb Drive,Melanie,Hill-Gardner,0,Daughter,NA,Female,Child,None,NA
27,Rhubarb Drive,Melanie,Williams-Baldwin,0,Daughter,NA,Female,Child,None,NA
3,Wallis Rapids,Victoria,Elliott,0,Daughter,NA,Female,Child,None,NA
3,Wallis Rapids,Ian,Elliott,0,Son,NA,Male,Child,None,NA
7,Wallis Rapids,Daniel,Bates,0,Son,NA,Male,Child,None,NA
12,Wallis Rapids,Alex,Walsh,0,Son,NA,Male,Child,None,NA
18,Wallis Rapids,Jacqueline,Wright,0,Daughter,NA,Female,Child,None,NA
19,Wallis Rapids,Marian,Cook,0,Daughter,NA,Female,Child,None,NA
24,Wallis Rapids,Samuel,Burgess,0,Son,NA,Male,Child,None,NA
27,Wallis Rapids,Tracey,Burton,0,Daughter,NA,Female,Child,None,NA
32,Wallis Rapids,Jordan,Moss,0,Son,NA,Male,Child,None,NA
35,Wallis Rapids,Kathryn,Francis,0,Granddaughter,NA,Female,Child,None,NA
48,Wallis Rapids,Danielle,Hodgson,0,Daughter,NA,Female,Child,None,NA
52,Wallis Rapids,Sam,Parkes,0,Grandson,NA,Male,Child,None,NA
5,West Lane,Tom,Jones,0,Son,NA,Male,Child,None,NA
8,West Lane,Joseph,Parry,0,Son,NA,Male,Child,None,NA
8,West Lane,Suzanne,Parry,0,Daughter,NA,Female,Child,None,NA
20,Pisces Road,Jemma,Morton,0,Daughter,NA,Female,Child,None,NA
7,Winterbarrier Street,Luke,Davies,0,Son,NA,Male,Child,None,NA
7,Winterbarrier Street,Vincent,Davies,0,Son,NA,Male,Child,None,NA
6,Squirrel Plains,Beth,Baxter,0,Daughter,NA,Female,Child,None,NA
63,Richardson Street,Toby,Jenkins,0,Son,NA,Male,Child,None,NA
66,Richardson Street,Louise,Martin,0,Daughter,NA,Female,Child,None,NA
66,Richardson Street,Carol,Martin,0,Daughter,NA,Female,Child,None,NA
29,Armagh Crescent,Shaun,Carr,0,Son,NA,Male,Child,None,NA
15,Love Square,Laura,White,0,Daughter,NA,Female,Child,None,NA
25,Chelmsfordshot Street,Trevor,Williams,0,Son,NA,Male,Child,None,NA
26,Chelmsfordshot Street,Nicholas,Schofield,0,Son,NA,Male,Child,None,NA
13,Taylor Wall,Russell,Miller,0,Son,NA,Male,Child,None,NA
16,Taylor Wall,Samantha,Bailey,0,Daughter,NA,Female,Child,None,NA
13,Coin Street,Bryan,Andrews,0,Son,NA,Male,Child,None,NA
60,Green Squares,Hollie,Moore,0,Daughter,NA,Female,Child,None,NA
113,Green Squares,Nicholas,Mahmood,0,Son,NA,Male,Child,None,NA
131,Green Squares,Roy,Shaw,0,Son,NA,Male,Child,None,NA
157,Green Squares,Jade,Richardson,0,Daughter,NA,Female,Child,None,NA
162,Green Squares,Jake,Smith,0,Son,NA,Male,Child,None,NA
172,Green Squares,Ronald,Price,0,Son,NA,Male,Child,None,NA
184,Green Squares,Kyle,Adams,0,Son,NA,Male,Child,None,NA
215,Green Squares,Melanie,Baldwin,0,Daughter,NA,Female,Child,None,NA
5,Martin Path,Brenda,Preston,0,Daughter,NA,Female,Child,None,NA
29,Martin Path,Julia,Watson,0,Daughter,NA,Female,Child,None,NA
26,Kelly Shoals,Christian,Khan,0,Son,NA,Male,Child,None,NA
26,Kelly Shoals,Geraldine,Khan,0,Daughter,NA,Female,Child,None,NA
20,London Avenue,Nicholas,Jones,0,Son,NA,Male,Child,None,NA
9,CherryChestnut Street,Julie,Thomson,0,Daughter,NA,Female,Child,None,NA
16,CherryChestnut Street,Lauren,Sims,0,Daughter,NA,Female,Child,None,NA
42,CherryChestnut Street,Thomas,Browne-Rogers,0,Son,NA,Male,Child,None,NA
2,Rhubarb Tunnel,Terry,Phillips,0,Son,NA,Male,Child,None,NA
11,Rhubarb Tunnel,Jeremy,Jones,0,Son,NA,Male,Child,None,NA
13,Rhubarb Tunnel,Barry,Dawson,0,Son,NA,Male,Child,None,NA
14,Perth Lane,James,Butler,0,Son,NA,Male,Child,None,NA
10,Marsh Lights,Louis,Clark,0,Son,NA,Male,Child,None,NA
26,Marsh Lights,Conor,French,0,Grandson,NA,Male,Child,None,NA
1,Silver Road,Gregory,Newton,0,Son,NA,Male,Child,None,NA
1,Silver Road,Maria,Newton,0,Daughter,NA,Female,Child,None,NA
21,Smith Mountain,Victoria,Anderson,0,Daughter,NA,Female,Child,None,NA
29,Arthur Street,Glen,Robson,0,Son,NA,Male,Child,None,NA
3,Kelly Dale,Mark,Sharp,0,Son,NA,Male,Child,None,NA
3,Kelly Dale,John,Sharp,0,Son,NA,Male,Child,None,NA
28,Kelly Dale,Frank,Greenwood,0,Son,NA,Male,Child,None,NA
21,Singh Plaza,Eleanor,Knowles,0,Daughter,NA,Female,Child,None,NA
22,Cook Plaza,Stanley,Green,0,Son,NA,Male,Child,None,NA
29,Cook Plaza,Kenneth,Perry,0,Son,NA,Male,Child,None,NA
44,Cook Plaza,Timothy,Giles,0,Son,NA,Male,Child,None,NA
75,Cook Plaza,Allan,Rogers,0,Son,NA,Male,Child,None,NA
96,Cook Plaza,Tom,Manning,0,Son,NA,Male,Child,None,NA
114,Cook Plaza,Ashley,Shaw,0,Son,NA,Male,Child,None,NA
10,Sagittariusdike Avenue,Brett,Smith,0,Son,NA,Male,Child,None,NA
7,Appletree Heights,Lesley,Mitchell,0,Daughter,NA,Female,Child,None,NA
20,Bank Street,Cameron,Davies,0,Son,NA,Male,Child,None,NA
27,Bank Street,Joyce,Taylor,0,Daughter,NA,Female,Child,None,NA
29,Bank Street,Craig,Tyler,0,Son,NA,Male,Child,None,NA
8,Ford Oval,Alan,Haynes,0,Son,NA,Male,Child,None,NA
11,Ford Oval,Clifford,Bates,0,Son,NA,Male,Child,None,NA
14,Bath Drive,Vincent,Harvey,0,Son,NA,Male,Child,None,NA
22,Bath Drive,Nicole,Miles,0,Daughter,NA,Female,Child,None,NA
24,Bath Drive,Heather,Ellis,0,Daughter,NA,Female,Child,None,NA
1,Duffy Hollow,Helen,Dawson,0,Daughter,NA,Female,Child,None,NA
10,Severn Plain,Amanda,Dean,0,Daughter,NA,Female,Child,None,NA
18,Taurus Drive,Andrea,Pearson,0,Daughter,NA,Female,Child,None,NA
5,Conifer Drive,Francesca,Green,0,Daughter,NA,Female,Child,None,NA
34,King Walks,Simon,Kelly,0,Son,NA,Male,Child,None,NA
1,Willis Avenue,Jacqueline,Jones,0,Daughter,NA,Female,Child,None,NA
32,Willis Avenue,Joseph,Griffiths,0,Son,NA,Male,Child,None,NA
32,Willis Avenue,Ronald,O'Sullivan,0,Son,NA,Male,Child,None,NA
63,Willis Avenue,Toby,Cooper,0,Son,NA,Male,Child,None,NA
100,Willis Avenue,Martin,Greenwood,0,Son,NA,Male,Child,None,NA
134,Willis Avenue,Clifford,Finch,0,Son,NA,Male,Child,None,NA
160,Willis Avenue,Norman,Holland,0,Son,NA,Male,Child,None,NA
